# GMM n=4 pocket classification, T=25C
# Classes: S1_pocket, S3_pocket, surface, extended
# frame  chi2  chi2_state  wcn  d_S1  d_S3  M  dist_nm  Q_p  class
269  83.96  1  0.872030  6.295  10.195  0.311872  0.861730  -0.026483  surface
270  84.19  1  0.873682  6.189  10.405  0.281384  0.824072  -0.018345  surface
271  95.52  1  0.849795  6.094  9.633  -0.057508  0.882912  -0.024138  surface
272  103.14  1  0.888919  5.928  9.506  0.091535  0.856763  -0.014597  surface
273  82.96  1  0.834970  6.209  10.524  0.152316  0.918070  -0.028204  surface
274  108.77  1  0.891809  6.873  10.020  0.255537  0.810299  -0.034182  surface
275  89.06  1  0.885154  6.595  9.463  0.017883  0.868884  -0.023434  surface
276  81.67  1  0.813900  6.206  11.714  0.087280  1.026529  -0.010168  surface
277  80.99  1  0.864223  7.551  9.803  -0.171416  0.902071  -0.023248  surface
278  103.32  1  0.859810  6.156  10.633  0.186221  0.919864  -0.023857  surface
279  85.31  1  0.809321  6.051  11.808  0.268354  1.015317  -0.006670  surface
280  96.05  1  0.821839  6.677  10.521  0.257870  0.907949  -0.020695  surface
281  77.42  1  0.828271  6.122  11.455  0.169359  0.977327  -0.016519  surface
282  92.25  1  0.811761  6.338  10.589  0.022085  0.966592  -0.020266  surface
283  97.46  1  0.855078  6.194  10.040  0.148405  0.960392  -0.024777  surface
284  81.78  1  0.877403  6.327  9.079  0.064896  0.894335  -0.019735  surface
285  106.18  1  0.871477  6.750  9.430  0.005456  0.848437  -0.011608  surface
286  97.62  1  0.901325  6.337  9.299  0.049666  0.787289  -0.041368  surface
287  93.22  1  0.851447  6.213  9.643  0.121540  0.903627  -0.015733  surface
288  85.75  1  0.875208  6.817  9.523  0.217768  0.825376  -0.019564  surface
289  92.18  1  0.833339  6.536  13.221  0.683410  0.990703  -0.023153  surface
290  98.28  1  0.848319  6.664  11.839  0.371810  0.912923  -0.029053  surface
291  78.08  1  0.805643  6.246  11.600  0.257591  0.933780  -0.012275  surface
292  110.29  1  0.905498  6.499  8.791  0.144252  0.737692  -0.029429  surface
293  91.93  1  0.896395  7.008  8.251  -0.190859  0.786356  -0.035985  surface
294  109.52  1  0.873183  6.168  10.909  0.404618  0.830527  -0.026401  surface
295  91.42  1  0.877668  7.510  9.683  0.049632  0.822090  -0.023260  surface
296  100.56  1  0.874637  6.461  10.581  0.273368  0.838272  -0.017173  surface
297  92.95  1  0.844476  6.832  11.504  0.467533  0.876179  -0.017931  surface
298  73.71  1  0.792712  6.031  13.387  0.429532  1.048788  -0.013261  surface
299  97.36  1  0.889343  7.547  9.753  0.346141  0.827456  -0.014185  surface
300  99.44  1  0.811716  7.204  10.890  0.151017  0.989336  -0.024687  surface
301  92.35  1  0.871361  6.797  10.030  0.213740  0.836258  -0.018259  surface
302  84.73  1  0.707369  6.314  13.189  0.239338  1.162180  -0.022590  surface
303  89.53  1  0.726076  6.606  14.325  0.605093  1.133836  -0.018764  surface
304  94.77  1  0.811477  6.782  13.121  0.732851  0.980128  -0.009231  surface
305  97.55  1  0.810906  6.182  12.982  0.569852  1.038407  -0.016077  surface
306  100.13  1  0.781794  6.580  12.469  0.666993  1.006797  -0.023617  surface
307  78.45  1  0.801747  6.961  13.320  0.641805  1.055728  -0.015186  surface
308  86.27  1  0.821846  6.356  12.737  0.570032  0.985011  -0.018580  surface
309  85.55  1  0.807658  6.642  14.008  0.779680  1.041137  -0.016632  surface
310  88.73  1  0.815779  6.779  13.237  0.653746  1.026106  -0.020999  surface
311  78.68  1  0.743033  6.707  13.865  0.472672  1.133340  -0.017860  surface
312  92.55  1  0.839320  6.780  12.687  0.665987  0.986278  -0.016894  surface
313  82.62  1  0.796335  6.739  13.614  0.758571  1.000411  -0.010775  surface
314  84.78  1  0.834028  6.468  12.607  0.660242  0.947701  -0.022818  surface
315  74.46  1  0.811861  6.316  13.841  0.594149  1.056396  -0.023192  surface
316  97.81  1  0.799265  5.976  12.867  0.663237  1.026386  -0.012680  surface
317  95.41  1  0.841473  6.438  12.591  0.665640  0.953803  -0.021058  surface
318  82.15  1  0.835645  6.305  13.513  0.602607  1.019955  -0.020353  surface
319  108.76  1  0.797711  6.622  13.600  0.621795  1.029532  -0.021077  surface
320  77.14  1  0.784541  6.208  13.452  0.519221  1.081694  -0.023799  surface
321  80.30  1  0.808251  6.475  12.263  0.332615  0.990126  -0.006820  surface
322  96.88  1  0.784243  6.522  12.762  0.543754  1.019899  -0.020678  surface
323  91.35  1  0.823653  6.603  13.224  0.656195  0.995007  -0.010753  surface
324  84.31  1  0.775843  6.567  13.472  0.594781  1.075598  -0.015938  surface
325  83.08  1  0.793611  6.797  13.206  0.663859  1.081098  -0.022570  surface
326  111.17  1  0.813502  6.360  13.599  0.706447  1.003610  -0.025772  surface
327  101.99  1  0.789592  6.587  12.761  0.534973  1.042956  -0.027099  surface
328  98.65  1  0.804055  6.609  13.309  0.645083  1.036159  -0.028160  surface
329  86.66  1  0.806667  6.521  13.411  0.619394  1.030506  -0.022172  surface
330  85.31  1  0.807131  6.646  14.278  0.674782  1.087881  -0.030147  surface
